"shark_ID","year","size_slow","size_fast","num_detections","num_receivers","n_rec_lagoon","n_inner_lagoon","n_outer_lagoon","n_rec_plat","n_rec_drop","n_rec_coast","min_date","max_date","n_tracking_days","tracking_period","binary_cat","binary_num","sex","sex_num","maturity_slow","mcp_area_100","mcp_area_95","mcp_area_90","mcp_area_80","mcp_area_75","mcp_area_70","mcp_area_60"
59,2013,181.5,184.5,448,11,8,0,0,0,0,0,2013-02-04 17:47:51,2013-12-25 23:34:43,82,324.241,"resident",0,"f",1,"juvenile","7.91702500258849","1.47065492913761","1.13975896926647","0.496348730998665","0.496348730998665","0.496348730998665","0.496348730998665"
59,2014,194,200,6319,24,20,0,0,0,0,0,2014-01-07 23:00:23,2014-12-31 00:19:21,281,357.055,"resident",0,"f",1,"juvenile","14.246864253961","2.86780521364354","0.882402047484774","0.459585234108955","0.22060064887514","0","0"
59,2015,206.5,215.5,7849,26,20,0,0,0,0,0,2014-12-31 23:07:06,2015-12-31 22:19:24,356,364.967,"resident",0,"f",1,"juvenile","12.8988333178518","3.2048306977708","1.91799785085266","0.459585234108955","0.459585234108955","0.459585234108955","0.22060064887514"
59,2016,219,231,11572,30,22,0,0,0,0,0,2016-01-01 06:22:07,2016-12-31 17:44:50,363,365.474,"resident",0,"f",1,"juvenile","19.4617376655832","3.2048306977708","1.8444578022498","1.49518103747684","1.49518103747684","0.459585234108955","0.459585234108955"
59,2017,231.5,246.5,9816,29,18,0,0,0,0,0,2017-01-01 04:03:08,2017-12-31 09:29:42,351,364.227,"resident",0,"f",1,"mature","19.6026330645266","5.12280919918434","2.59817084617932","0.95593396510762","0.95593396510762","0.716949379873805","0.716949379873805"
59,2018,244,262,5102,25,16,0,0,0,0,0,2018-01-01 05:38:11,2018-12-31 19:23:26,345,364.573,"resident",0,"f",1,"mature","14.2408493431248","3.30287347006714","2.18148328637706","1.47679804072799","1.47679804072799","1.47679804072799","0.704696910147596"
59,2019,256.5,277.5,5602,26,15,0,0,0,0,0,2018-12-31 23:18:41,2019-12-31 19:14:57,347,364.831,"resident",0,"f",1,"mature","21.9126956162337","2.8126612496297","2.46338448485674","1.86285388683882","0.753721086424615","0.484096261272456","0.238984585233815"
59,2020,269,293,2902,18,10,0,0,1,0,0,2020-01-01 07:10:55,2020-12-31 17:12:23,275,365.418,"exploratory",1,"f",1,"mature","36.7235457169006","2.11407190840542","1.47679207677387","1.20103924136981","0.490215033381324","0.490215033381324","0"
59,2021,281.5,308.5,2293,29,14,0,0,1,0,0,2021-01-01 17:50:00,2021-11-25 20:13:49,280,328.1,"exploratory",1,"f",1,"mature","23.892074193812","10.7419742250777","2.29791426132694","1.51356924013038","1.12751531200091","0.484096261272456","0.238984585233815"
60,2012,162,162,4988,9,9,0,0,0,0,0,2012-09-01 03:52:49,2012-12-31 22:27:43,122,121.774,"resident",0,"f",1,"juvenile","2.56749055523852","0.821111050445117","0","0","0","0","0"
